PFT,moisture,co2,climstruct,nitrogen,potential_npp,actual_npp,surfacefrac
BrDe,-13.817406427081007,-4.605407032531878,-7.528597955863499,2.0327029583323437,-25.951411401392864,-23.91870844306052,-0.5840449850084389
BrEvTe,-13.613558612051413,-3.9319523072527587,-4.284622795674393,0.6389591616638626,-21.830133581316467,-21.191174419652604,-3.805519149947964
NeDe,-11.91059382664725,-4.00930154225324,-24.053038473346536,0.14651975678488327,-39.97293390647996,-39.826414149695076,-0.9476328518329105
NeEv,-14.183569347145164,-4.036534978967805,-3.6689440090179546,0.5343444394195984,-21.889048357259156,-21.354703917839558,-7.981537717264444
C3Gr,-13.454622386734833,-3.3640998371380495,-12.780193434370624,5.768735945689407,-29.598915642924993,-23.830179697235586,6.44774011152221
C4Gr,-16.70747654865466,-0.12171853604417102,-1.3531318601322804,6.214721714769134,-18.182326824988316,-11.967605110219182,8.741338515232808
ShEv,-14.377095288280893,-3.4626583167939775,-6.753640079031481,1.2276856733139923,-24.593393680056163,-23.36570800674217,-0.7132062185305863
